t,r_x,r_y,v1,theta,r_cmd_x,r_cmd_y,r_user_x,r_user_y,r_user_dot_x,r_user_dot_y,v_ref_x,v_ref_y,u_force,theta_cmd,delta,u_tilde_x,u_tilde_y,OL_error_x,OL_error_y,IL_error,K_OL_norm,K_IL_norm,theta_ref,v_chrono_x,v_chrono_y,theta_dot,u_moment,v_des
5.000000000000003331e-01,-2.962292874011813846e-05,-1.642669083354364234e+00,7.848146081832213170e-03,1.570752018072713474e+00,-2.962292280960780353e-05,-1.642669094832013732e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.068578567548857675e-11,-1.361133642267901264e-08,6.891798818316591665e-06,-1.568372851295779746e+00,-1.556102014174182147e+00,1.670208923181023457e-08,-6.891778579754667534e-06,-1.223251354268804899e-04,7.848290987666256893e-03,-4.430872218308401500e-05,1.414213562460409079e+00,1.056220443988104218e+00,1.569864319952658294e+00,-1.223251354268804899e-04,7.848290987666256893e-03,-3.518994821205098964e-05,-5.340556861447226522e-01,0.000000000000000000e+00
5.020000000000003348e-01,-3.035895500218918251e-05,-1.642652342358309037e+00,8.331656863361939017e-03,1.570751720162685272e+00,-2.962291671989584062e-05,-1.642669106335947093e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.106711236895967465e-10,-2.732726044124602526e-08,6.953756591308343710e-06,-1.564448720652946712e+00,-1.563533044061301114e+00,4.413941163559403297e-08,-6.953616501037765220e-06,-3.680629045584558087e-04,8.331835351212445520e-03,8.874002100269784421e-04,1.414213562460427287e+00,1.056229360818196517e+00,1.567736399409119796e+00,-3.680628738726701363e-04,8.331821739876022967e-03,-1.489832667047264934e-04,-1.147072288864311229e+00,0.000000000000000000e+00
5.040000000000003366e-01,-3.069130093531185474e-05,-1.642636549020072279e+00,7.894769295167608503e-03,1.570750326707606837e+00,-2.962291055150464064e-05,-1.642669117865981354e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.498897614969986981e-10,-4.096348466403062174e-08,6.913333150069099808e-06,-1.567664097233547160e+00,-1.566234194231173715e+00,2.165411105247976807e-08,-6.913299237217991589e-06,-1.638954260188588640e-04,7.894944852144859110e-03,3.013927298487040218e-03,1.414213562460444606e+00,1.056263069450344094e+00,1.564469452681460426e+00,-1.638953153477351772e-04,7.894917524884418475e-03,-6.953876748911063266e-04,-1.730487751813698738e+00,0.000000000000000000e+00
5.060000000000003384e-01,-2.923821291228068141e-05,-1.642617945178663996e+00,9.317047344593452907e-03,1.570750282611207416e+00,-2.962290466174514211e-05,-1.642669129422685614e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.098979087701155004e-11,-5.489242188762680735e-08,7.080078025105400965e-06,4.701482984899776341e+00,-1.566722263606695087e+00,-7.721376830963426823e-08,-7.079656974427773816e-06,7.252113294590349429e-04,9.317220785607389227e-03,6.280829929746989393e-03,1.414213562460465257e+00,1.056317051838318477e+00,1.561351358096599418e+00,7.252114793487964613e-04,9.317179822122725885e-03,-2.283246906364963069e-05,-2.286905078799359892e+00,0.000000000000000000e+00
5.080000000000003402e-01,-4.691329579912819584e-06,-1.642588863148725542e+00,1.460078903118044308e-02,1.570763607878666646e+00,-2.962290367457640099e-05,-1.642669141008164857e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.441055725676038303e-09,-6.988844575854841451e-08,7.796726530885682771e-06,4.536746987112628915e+00,-1.561627584308939110e+00,-1.362402251028046832e-06,-7.676770460539406588e-06,1.226582278969989490e-02,1.460070150302458444e-02,9.412249782067227954e-03,1.414213562460505891e+00,1.056355743620926324e+00,1.559558155499076948e+00,1.226582280068968557e-02,1.460064661060269699e-02,6.658150349710746305e-03,-1.592408109260698312e+00,0.000000000000000000e+00
5.100000000000003419e-01,3.801666470101602705e-05,-1.642555866290211330e+00,1.655525757368619261e-02,1.570787095785101561e+00,-2.962291123567158357e-05,-1.642669152623214446e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.717202391874081099e-09,-8.528655323533373901e-08,8.257486074695314331e-06,4.419899934933681607e+00,-1.553590141782666301e+00,-2.380934215872781547e-06,-7.906783703470917401e-06,2.134317239461232252e-02,1.655542289164668376e-02,1.122894028602483552e-02,1.414213562460562956e+00,1.056366050427949510e+00,1.558973348442952211e+00,2.134316995355659691e-02,1.655535300320092398e-02,1.173758307814124630e-02,-9.620740324601879667e-01,0.000000000000000000e+00
5.120000000000003437e-01,8.177220647295132823e-05,-1.642523593464336296e+00,1.620022180738929507e-02,1.570811245547732993e+00,-2.962292757183289588e-05,-1.642669164267702708e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.110550976171037811e-08,-1.006247300601523651e-07,8.253783123031260116e-06,4.410700706672748161e+00,-1.528612356621520174e+00,-2.452468486702446597e-06,-7.881010986146833429e-06,2.186020004397233596e-02,1.620091817558790351e-02,1.183789710478078128e-02,1.414213562460619800e+00,1.056345535673321789e+00,1.559515932695433094e+00,2.186019332676994442e-02,1.620083288903466714e-02,1.206454104534484401e-02,-3.838095664648977223e-01,0.000000000000000000e+00
5.140000000000003455e-01,1.430238763180053188e-04,-1.642515294454834685e+00,4.159602063096618299e-03,1.570845630549185357e+00,-2.962295620328739279e-05,-1.642669175936843029e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.725508941734052801e-08,-1.135610383570505385e-07,7.402233325548545857e-06,4.229026830073213006e+00,1.545681551981657798e+00,-3.440252857062105619e-06,-6.554213796126695307e-06,3.060487547998540919e-02,4.161284738014308857e-03,1.132969785375248506e-02,1.414213562460661544e+00,1.056300976294076266e+00,1.561095159254173748e+00,3.060486437447564739e-02,4.161184113284248365e-03,1.718016500231516266e-02,1.655888813758908951e-01,0.000000000000000000e+00
5.160000000000003473e-01,2.045285619824330735e-04,-1.642505973432124788e+00,4.684825389457656329e-03,1.570880431625438112e+00,-2.962299720518950911e-05,-1.642669187630843242e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.343988012084014050e-08,-1.266089978349688503e-07,7.474300890206992200e-06,4.229131433427070874e+00,1.563627442572014692e+00,-3.473054603157868315e-06,-6.618388438346072899e-06,3.071942257880721366e-02,4.687604813466680898e-03,9.785272371264364111e-03,1.414213562460704843e+00,1.056245746224767856e+00,1.563626465196553905e+00,3.071940532371779733e-02,4.687491252428324130e-03,1.738116357094023762e-02,6.534831625039557723e-01,0.000000000000000000e+00
5.180000000000003491e-01,2.489444631804713743e-04,-1.642486144102691448e+00,1.002557587373543134e-02,1.570908055136545078e+00,-2.962304718096647096e-05,-1.642669199351810994e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.792611921042099308e-08,-1.407336420187016336e-07,7.653604942174369578e-06,4.373709150761580844e+00,1.561830043921399680e+00,-2.542850583038865928e-06,-7.218835053054948108e-06,2.218268072706826299e-02,1.002835554145387748e-02,7.281589939991173210e-03,1.414213562460745477e+00,1.056197478039080595e+00,1.567092629907185009e+00,2.218265728718814278e-02,1.002822893245604308e-02,1.379688249775432377e-02,1.118111858346875431e+00,0.000000000000000000e+00
5.200000000000003508e-01,2.741264168532641710e-04,-1.642480225410272832e+00,3.059394367268235791e-03,1.570923290981569798e+00,-2.962310229774834381e-05,-1.642669211096969173e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.048785870795160225e-08,-1.534704791983895168e-07,6.620961889001157827e-06,4.486420027128696475e+00,1.568870563161426368e+00,-1.483431723079373597e-06,-6.452640285849470897e-06,1.253548736550760302e-02,3.061179584245445669e-03,3.830661074384789089e-03,1.414213562460757467e+00,1.056179666791881466e+00,1.571498625815438199e+00,1.253545943938839252e-02,3.061038850603426970e-03,7.585271339562748780e-03,1.588663599263161919e+00,0.000000000000000000e+00
